"ID"/"Open date"/"Responsible ID"/"OPENED"/"CATEGORY_ID"/"Deal profit"/"Manager bonus"/"reason id"/"region id"/"Service"
400965/"2022-06-10 08:25:06"/1.0/Y/4/29558.0/6596.0/4.0/2.0/a:1:{i:0;i:283;}
400416/"2022-06-07 14:30:02"/3.0/Y/27/93691.0/4287.0/3.0/3.0/a:1:{i:0;i:8217;}
417004/"2022-10-07 12:27:43"/3.0/Y/67/77723.0/5164.0/3.0/4.0/a:2:{i:0;i:31286;i:1;i:28449;}
400436/"2022-06-07 16:16:21"/2.0/Y/4/90358.0/437.0/4.0/3.0/a:1:{i:0;i:283;}
406796/"2022-07-21 15:01:19"/1.0/Y/67/39201.0/10034.0/1.0/2.0/a:2:{i:0;i:28449;i:1;i:16513;}
401203/"2022-06-14 12:45:32"/2.0/Y/67/62973.0/6500.0/4.0/1.0/a:2:{i:0;i:16511;i:1;i:16513;}
400774/"2022-06-09 09:37:27"/4.0/Y/67/13975.0/6299.0/5.0/1.0/a:1:{i:0;i:16507;}
400859/"2022-06-09 13:21:26"/2.0/Y/67/36111.0/596.0/3.0/1.0/a:2:{i:0;i:16511;i:1;i:16513;}
400937/"2022-06-09 18:01:38"/2.0/Y/27/21207.0/794.0/1.0/4.0/a:1:{i:0;i:8219;}
429846/"2022-12-15 10:29:04"/3.0/Y/67/75503.0/4847.0/3.0/3.0/a:4:{i:0;i:16511;i:1;i:31292;i:2;i:31287;i:3;i:16509;}
401130/"2022-06-14 08:24:19"/1.0/Y/11/59321.0/9302.0/1.0/4.0/a:1:{i:0;i:293;}
400762/"2022-06-09 07:39:27"/3.0/Y/11/25196.0/9946.0/3.0/2.0/a:1:{i:0;i:293;}
63597/"2020-06-08 17:36:15"/1.0/Y/13/60649.0/3003.0/5.0/4.0/a:3:{i:0;i:297;i:1;i:1535;i:2;i:19969;}
400331/"2022-06-07 10:21:06"/4.0/Y/4/68631.0/3718.0/1.0/1.0/a:1:{i:0;i:283;}
404536/"2022-07-05 15:55:08"/1.0/Y/4/77252.0/2571.0/2.0/2.0/a:3:{i:0;i:283;i:1;i:285;i:2;i:293;}
400008/"2022-06-03 14:59:31"/4.0/Y/67/36267.0/7604.0/5.0/3.0/a:1:{i:0;i:16507;}
400370/"2022-06-07 11:58:50"/4.0/Y/4/75069.0/8743.0/2.0/2.0/a:1:{i:0;i:283;}
400051/"2022-06-03 17:57:28"/4.0/Y/7/52413.0/7994.0/4.0/1.0/a:1:{i:0;i:287;}
400457/"2022-06-07 17:53:38"/4.0/Y/11/63956.0/4449.0/3.0/2.0/a:1:{i:0;i:293;}
400321/"2022-06-07 09:35:47"/1.0/Y/11/97890.0/6812.0/4.0/3.0/a:1:{i:0;i:293;}
400024/"2022-06-03 16:13:39"/2.0/Y/67/55159.0/4889.0/1.0/4.0/a:1:{i:0;i:16511;}
401016/"2022-06-10 12:33:30"/1.0/Y/4/71269.0/3903.0/1.0/1.0/a:2:{i:0;i:283;i:1;i:293;}
400034/"2022-06-03 16:50:08"/4.0/Y/7/98270.0/6441.0/3.0/3.0/a:1:{i:0;i:287;}
400014/"2022-06-03 15:27:01"/2.0/Y/67/28994.0/2091.0/3.0/3.0/a:1:{i:0;i:16507;}
400355/"2022-06-07 11:26:06"/1.0/Y/7/71245.0/155.0/1.0/4.0/a:1:{i:0;i:287;}
106227/"2021-01-13 08:19:11"/1.0/Y/7/85886.0/1495.0/3.0/3.0/a:3:{i:0;i:1649;i:1;i:1651;i:2;i:287;}
106899/"2021-01-15 13:18:11"/3.0/Y/17/90203.0/4051.0/3.0/3.0/a:3:{i:0;i:1649;i:1;i:1651;i:2;i:287;}
416487/"2022-10-05 22:28:59"/2.0/Y/116/86990.0/9625.0/3.0/2.0/a:4:{i:0;i:19967;i:1;i:283;i:2;i:287;i:3;i:285;}
400820/"2022-06-09 11:29:48"/2.0/Y/105/29048.0/2058.0/3.0/2.0/a:1:{i:0;i:16855;}
400730/"2022-06-08 16:55:36"/2.0/Y/43/27751.0/8259.0/3.0/2.0/a:0:{}
400026/"2022-06-03 16:26:38"/4.0/Y/4/41996.0/6767.0/2.0/4.0/a:1:{i:0;i:283;}
400665/"2022-06-08 14:51:19"/3.0/Y/33/22249.0/6267.0/4.0/3.0/a:3:{i:0;i:7391;i:1;i:7389;i:2;i:2201;}
400229/"2022-06-06 14:44:04"/2.0/Y/73/80485.0/5051.0/2.0/2.0/a:1:{i:0;i:1361;}
400722/"2022-06-08 16:30:51"/4.0/Y/33/22632.0/3721.0/3.0/1.0/a:1:{i:0;i:7385;}
400381/"2022-06-07 12:43:01"/4.0/Y/4/84673.0/1109.0/2.0/1.0/a:1:{i:0;i:283;}
400445/"2022-06-07 17:10:02"/1.0/Y/9/104068.0/849.0/3.0/3.0/a:1:{i:0;i:285;}
419088/"2022-10-19 16:36:16"/1.0/Y/27/72168.0/7082.0/4.0/1.0/a:2:{i:0;i:8219;i:1;i:8217;}
400896/"2022-06-09 16:13:12"/3.0/Y/13/98428.0/5354.0/5.0/2.0/a:1:{i:0;i:19967;}
400298/"2022-06-07 06:45:00"/3.0/Y/4/29127.0/8404.0/3.0/2.0/a:1:{i:0;i:283;}
400345/"2022-06-07 10:54:08"/1.0/Y/11/46201.0/7156.0/3.0/1.0/a:1:{i:0;i:293;}
401002/"2022-06-10 11:14:21"/3.0/Y/13/68355.0/2054.0/2.0/3.0/a:1:{i:0;i:19969;}
401033/"2022-06-10 13:07:35"/3.0/Y/4/47633.0/328.0/5.0/4.0/a:1:{i:0;i:283;}
401047/"2022-06-10 14:04:04"/2.0/Y/4/49891.0/2214.0/5.0/3.0/a:2:{i:0;i:283;i:1;i:293;}
400337/"2022-06-07 10:29:44"/1.0/Y/67/54820.0/7486.0/2.0/3.0/a:1:{i:0;i:16507;}
400842/"2022-06-09 12:11:56"/4.0/Y/11/55446.0/8953.0/1.0/3.0/a:1:{i:0;i:293;}
400758/"2022-06-09 07:15:12"/4.0/Y/33/48698.0/6389.0/5.0/1.0/a:1:{i:0;i:7385;}
401132/"2022-06-14 08:30:58"/1.0/Y/7/17673.0/6911.0/1.0/4.0/a:1:{i:0;i:287;}
400823/"2022-06-09 11:34:04"/4.0/Y/75/32607.0/8433.0/3.0/4.0/a:1:{i:0;i:20322;}
400772/"2022-06-09 09:29:07"/2.0/Y/4/28215.0/6798.0/5.0/1.0/a:1:{i:0;i:283;}
40127/"2019-11-21 13:14:32"/2.0/Y/17/76244.0/1552.0/4.0/2.0/a:3:{i:0;i:1649;i:1;i:1651;i:2;i:287;}
46347/"2019-12-30 10:01:20"/2.0/Y/17/48290.0/9257.0/3.0/2.0/a:3:{i:0;i:1649;i:1;i:1651;i:2;i:287;}
46359/"2019-12-30 10:07:09"/3.0/Y/17/49432.0/8216.0/5.0/4.0/a:3:{i:0;i:1647;i:1;i:1651;i:2;i:287;}
65863/"2020-06-29 09:59:36"/3.0/Y/17/45659.0/8679.0/2.0/3.0/a:3:{i:0;i:1649;i:1;i:1651;i:2;i:287;}
87969/"2020-11-02 13:20:32"/2.0/Y/17/13322.0/3284.0/3.0/3.0/a:3:{i:0;i:1649;i:1;i:1651;i:2;i:287;}
157863/"2021-03-02 14:45:33"/1.0/Y/17/78737.0/8843.0/2.0/4.0/a:3:{i:0;i:1649;i:1;i:1651;i:2;i:287;}
151133/"2021-02-04 09:57:17"/1.0/Y/17/11064.0/7918.0/5.0/1.0/a:4:{i:0;i:1649;i:1;i:1651;i:2;i:1653;i:3;i:287;}
400643/"2022-06-08 13:58:11"/3.0/Y/7/53473.0/4473.0/5.0/1.0/a:1:{i:0;i:287;}
404241/"2022-07-04 09:29:15"/3.0/Y/65/86846.0/2026.0/4.0/3.0/a:4:{i:0;i:7385;i:1;i:7389;i:2;i:10317;i:3;i:7391;}
406535/"2022-07-20 11:40:11"/2.0/Y/67/86994.0/9081.0/1.0/1.0/a:2:{i:0;i:16509;i:1;i:16513;}
407442/"2022-07-27 09:13:59"/3.0/Y/67/100373.0/5479.0/5.0/2.0/a:5:{i:0;i:16507;i:1;i:16511;i:2;i:16537;i:3;i:31292;i:4;i:31291;}
400666/"2022-06-08 14:57:55"/3.0/Y/4/45029.0/2343.0/1.0/3.0/a:1:{i:0;i:283;}
400969/"2022-06-10 09:10:53"/4.0/Y/13/109203.0/802.0/2.0/3.0/a:1:{i:0;i:19969;}
400789/"2022-06-09 10:33:09"/1.0/Y/4/63802.0/2225.0/3.0/3.0/a:1:{i:0;i:283;}
400418/"2022-06-07 14:58:54"/3.0/Y/4/105026.0/8751.0/3.0/4.0/a:1:{i:0;i:283;}
352111/"2021-12-03 04:34:02"/1.0/Y/63/96132.0/863.0/4.0/4.0/a:2:{i:0;i:283;i:1;i:285;}
352133/"2021-12-03 05:47:12"/1.0/Y/63/36189.0/7761.0/1.0/4.0/a:3:{i:0;i:283;i:1;i:293;i:2;i:285;}
400615/"2022-06-08 12:51:28"/2.0/Y/105/37211.0/2452.0/2.0/1.0/a:1:{i:0;i:16857;}
